header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Connectionistbench.csv,0.132075471698113,0.484593724291905,0.864285714285714,0.873900293255132,0.909090909090909,0.86906641279329,0.851063829787234,8,-779.821321687124
Datasets\Connectionistbench.csv,0.283018867924528,0.510102223243862,0.725714285714286,0.744582043343653,0.647058823529412,0.735027103124229,0.745762711864407,9,-1580.72125743103
Datasets\Connectionistbench.csv,0.188679245283019,2.36770187739651,0.815,0.816810344827586,0.758620689655172,0.815904168207512,0.814814814814815,9,-2358.15312764148
Datasets\Connectionistbench.csv,0.132075471698113,0.61030641538139,0.868571428571429,0.867521367521368,0.846153846153846,0.868046080486124,0.862745098039216,8,-3105.08173099405
Datasets\Connectionistbench.csv,0.207547169811321,0.714303034742189,0.792857142857143,0.792022792022792,0.769230769230769,0.792439747820393,0.784313725490196,7,-3827.11132673663
Datasets\Connectionistbench.csv,0.169811320754717,0.810429864016292,0.830714285714286,0.82977207977208,0.807692307692308,0.830242915426312,0.823529411764706,9,-4603.65568060877
Datasets\Connectionistbench.csv,0.226415094339623,0.33569573859581,0.772857142857143,0.772857142857143,0.76,0.772857142857143,0.76,12,-5577.73092201812
Datasets\Connectionistbench.csv,0.226415094339623,0.975382528373136,0.770714285714286,0.77463768115942,0.782608695652174,0.77267100300775,0.75,8,-6389.61493690956
Datasets\Connectionistbench.csv,0.132075471698113,0.600193759579972,0.864285714285714,0.873900293255132,0.909090909090909,0.86906641279329,0.851063829787234,16,-7453.30956951534
Datasets\Connectionistbench.csv,0.188679245283019,1.44354663561939,0.815,0.816810344827586,0.758620689655172,0.815904168207512,0.814814814814815,11,-8351.7737160856
Datasets\Connectionistbench.csv,0.132075471698113,0.856964090257307,0.864285714285714,0.873900293255132,0.909090909090909,0.86906641279329,0.851063829787234,8,-9122.4101857473
Datasets\Connectionistbench.csv,0.226415094339623,1.99663819960305,0.779285714285714,0.786656891495601,0.709677419354839,0.782953954153463,0.785714285714286,10,-9928.84890196542
Datasets\Connectionistbench.csv,0.226415094339623,8.26927517210532,0.775,0.774216524216524,0.740740740740741,0.774608063997058,0.769230769230769,7,-10714.8361871518
Datasets\Connectionistbench.csv,0.226415094339623,0.466908471939403,0.775,0.774216524216524,0.740740740740741,0.774608063997058,0.769230769230769,10,-11587.2813415923
Datasets\Connectionistbench.csv,0.245283018867925,0.84775003540353,0.757142857142857,0.757142857142857,0.714285714285714,0.757142857142857,0.754716981132076,8,-12287.4180702485
Datasets\Connectionistbench.csv,0.150943396226415,0.566446638504906,0.846428571428572,0.851449275362319,0.869565217391304,0.848931500167668,0.833333333333333,11,-13123.2940530383
Datasets\Connectionistbench.csv,0.245283018867925,0.519443349589809,0.752857142857143,0.754310344827586,0.75,0.753583043257996,0.73469387755102,9,-13907.6389713355
Datasets\Connectionistbench.csv,0.150943396226415,0.394909754333388,0.852857142857143,0.854885057471264,0.793103448275862,0.853869896107268,0.851851851851852,13,-14830.523087312
Datasets\Connectionistbench.csv,0.207547169811321,0.694123551549051,0.792857142857143,0.792022792022792,0.769230769230769,0.792439747820393,0.784313725490196,8,-15675.8462069635
Datasets\Connectionistbench.csv,0.264150943396226,0.804320438664418,0.741428571428571,0.747800586510264,0.67741935483871,0.744600946891378,0.75,7,-16470.053227614
Datasets\Connectionistbench.csv,0.0943396226415094,0.616607778196779,0.908571428571429,0.908571428571429,0.857142857142857,0.908571428571429,0.90566037735849,13,-17551.5078431979
Datasets\Connectionistbench.csv,0.226415094339623,0.457618298195697,0.779285714285714,0.786656891495601,0.709677419354839,0.782953954153463,0.785714285714286,10,-18419.8961619114
Datasets\Connectionistbench.csv,0.113207547169811,0.707465032687399,0.886428571428571,0.886428571428571,0.88,0.886428571428571,0.88,11,-19233.5727609379
Datasets\Connectionistbench.csv,0.264150943396226,0.757280216636308,0.739285714285714,0.74066091954023,0.689655172413793,0.739972677974564,0.740740740740741,14,-20216.3613322769
Datasets\Connectionistbench.csv,0.207547169811321,0.9096944149227,0.795,0.795,0.75,0.795,0.792452830188679,13,-21110.1081227558
Datasets\Connectionistbench.csv,0.0943396226415094,0.399012218387071,0.908571428571429,0.908571428571429,0.857142857142857,0.908571428571429,0.90566037735849,12,-21907.7029088898
Datasets\Connectionistbench.csv,0.132075471698113,3.49830505050642,0.862142857142857,0.884090909090909,0.95,0.872978952848431,0.844444444444444,16,-22861.0235675698
Datasets\Connectionistbench.csv,0.245283018867925,1.75895169889235,0.755,0.754273504273504,0.730769230769231,0.754636577285727,0.745098039215686,6,-23602.1769302769
Datasets\Connectionistbench.csv,0.169811320754717,92.1209262645018,0.830714285714286,0.82977207977208,0.807692307692308,0.830242915426312,0.823529411764706,13,-24588.5903317408
Datasets\Connectionistbench.csv,0.226415094339623,1.63063643323489,0.779285714285714,0.786656891495601,0.709677419354839,0.782953954153463,0.785714285714286,7,-25342.8634833519
