header
00:00:20.5580603
00:00:28.9662942
00:00:37.3310373
00:00:47.9033036
00:00:57.8743713
00:01:09.7066828
00:01:23.5067120
00:01:34.1183510
00:01:49.6041473
00:02:03.5501110
00:02:19.2475913
00:02:37.5693589
00:02:52.6581033
00:03:16.2591435
00:03:33.8363544
00:03:53.2191541
00:04:13.9616990
00:04:42.9261746
00:04:59.9937155
