header
00:00:23.8290652
00:00:45.9459909
00:01:00.0950324
00:01:08.3299385
00:01:21.5793799
00:01:32.4484531
00:01:44.3190554
00:01:55.6814059
00:02:07.1612525
00:02:19.6292979
00:02:31.9779893
00:02:43.7182865
00:02:56.4582266
00:03:08.5584474
00:03:23.2479279
00:03:36.5063086
00:03:50.2228394
00:04:04.8819740
00:04:19.1263090
