header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Uci_muskv1.csv,0.45,0.476322539567835,0.485294117647059,0.279661016949153,0,0.354838709677419,0,2,0.485689999758977
Datasets\Uci_muskv1.csv,0.283333333333333,0.380481870001064,0.693438914027149,0.726190476190476,0.75,0.709436897624649,0.613636363636364,3,0.422865459386606
Datasets\Uci_muskv1.csv,0.341666666666667,0.414654460646489,0.635180995475113,0.655649625529144,0.648648648648649,0.645253025532485,0.539325842696629,4,0.418758665969972
Datasets\Uci_muskv1.csv,0.233333333333333,0.35450956267687,0.764705882352941,0.762626262626263,0.722222222222222,0.763664656681579,0.735849056603774,5,0.390547561507208
Datasets\Uci_muskv1.csv,0.2,0.328714946471272,0.796380090497738,0.796380090497738,0.769230769230769,0.796380090497738,0.769230769230769,6,0.379065431344821
Datasets\Uci_muskv1.csv,0.183333333333333,0.313949238443713,0.811085972850679,0.814285714285714,0.8,0.812682694028515,0.784313725490196,7,0.347488618463048
Datasets\Uci_muskv1.csv,0.191666666666667,0.308725281425497,0.808257918552036,0.804895104895105,0.763636363636364,0.806573006626557,0.785046728971963,8,0.341121760283859
Datasets\Uci_muskv1.csv,0.2,0.291973865751532,0.798642533936652,0.796296296296296,0.759259259259259,0.79746768939792,0.773584905660377,9,0.328414298388824
Datasets\Uci_muskv1.csv,0.266666666666667,0.351737023902461,0.723981900452489,0.729166666666667,0.708333333333333,0.726565034057736,0.68,10,0.316402462986751
Datasets\Uci_muskv1.csv,0.216666666666667,0.329890192625329,0.765837104072398,0.79375,0.825,0.779543764846682,0.717391304347826,11,0.301359022054901
Datasets\Uci_muskv1.csv,0.175,0.286041300542157,0.822963800904977,0.821599549422698,0.792452830188679,0.822281109304789,0.8,12,0.288273875215004
Datasets\Uci_muskv1.csv,0.175,0.267469224162,0.813914027149321,0.828888888888889,0.844444444444444,0.821333206836346,0.783505154639175,13,0.273367047394066
Datasets\Uci_muskv1.csv,0.166666666666667,0.265410118200789,0.82579185520362,0.833333333333333,0.833333333333333,0.829545454545455,0.8,14,0.265234038405356
Datasets\Uci_muskv1.csv,0.108333333333333,0.234607995772938,0.884049773755656,0.8958029728942,0.914893617021277,0.889887567392738,0.868686868686869,15,0.263080444388977
Datasets\Uci_muskv1.csv,0.175,0.260229002367386,0.822963800904977,0.821599549422698,0.792452830188679,0.822281109304789,0.8,16,0.252133672654757
Datasets\Uci_muskv1.csv,0.116666666666667,0.243389942951461,0.8789592760181,0.882857142857143,0.88,0.88090389759056,0.862745098039216,17,0.239311167785503
Datasets\Uci_muskv1.csv,0.133333333333333,0.224327748187731,0.866515837104072,0.863636363636364,0.833333333333333,0.865073704232049,0.849056603773585,18,0.239871304339543
Datasets\Uci_muskv1.csv,0.125,0.220312557125668,0.869343891402715,0.875395228513941,0.877551020408163,0.872359065930764,0.851485148514851,19,0.235334524419573
Datasets\Uci_muskv1.csv,0.15,0.227552259569324,0.842760180995475,0.850694444444444,0.854166666666667,0.846708725703948,0.82,20,0.227034726482519
Datasets\Uci_muskv1.csv,0.433333333333333,0.475348201032603,0.504524886877828,0.53448275862069,0.5,0.519071932722631,0.0714285714285714,2,0.487403608523189
Datasets\Uci_muskv1.csv,0.316666666666667,0.449451136669198,0.661764705882353,0.683568677792041,0.684210526315789,0.67249000210482,0.577777777777778,3,0.424874130994483
Datasets\Uci_muskv1.csv,0.35,0.428524537170735,0.632352941176471,0.642857142857143,0.619047619047619,0.637561779242175,0.553191489361702,4,0.39434892981989
Datasets\Uci_muskv1.csv,0.283333333333333,0.409536813558789,0.704751131221719,0.712690951821387,0.695652173913043,0.708698804016434,0.653061224489796,5,0.370427077531094
Datasets\Uci_muskv1.csv,0.3,0.414339586296871,0.690045248868778,0.694444444444444,0.666666666666667,0.69223785746709,0.64,6,0.355274630923357
Datasets\Uci_muskv1.csv,0.275,0.36823533508674,0.705316742081448,0.729819563152897,0.743589743589744,0.717358977977011,0.637362637362637,7,0.331988975323636
Datasets\Uci_muskv1.csv,0.233333333333333,0.370418982434231,0.757918552036199,0.763888888888889,0.75,0.760892009085278,0.72,8,0.321351473121934
Datasets\Uci_muskv1.csv,0.208333333333333,0.348979745490005,0.782239819004525,0.790877295249198,0.787234042553192,0.786534844335487,0.747474747474748,9,0.310866188156293
Datasets\Uci_muskv1.csv,0.241666666666667,0.361344648566654,0.752828054298643,0.754049445865303,0.725490196078431,0.753438255085744,0.718446601941748,10,0.298799402854915
Datasets\Uci_muskv1.csv,0.216666666666667,0.358098465629154,0.770361990950226,0.785885167464115,0.795454545454545,0.778046159303854,0.729166666666667,11,0.282750095260066
Datasets\Uci_muskv1.csv,0.175,0.314153458390423,0.816176470588235,0.825852521130866,0.829787234042553,0.820985986632681,0.787878787878788,12,0.265341522690077
Datasets\Uci_muskv1.csv,0.2,0.334292389257963,0.785067873303168,0.807692307692308,0.833333333333333,0.796219405594406,0.74468085106383,13,0.257400271163887
Datasets\Uci_muskv1.csv,0.216666666666667,0.313484986884549,0.765837104072398,0.79375,0.825,0.779543764846682,0.717391304347826,14,0.247936592726763
Datasets\Uci_muskv1.csv,0.225,0.3211731909036,0.760746606334842,0.778465720326185,0.790697674418605,0.769504173827441,0.71578947368421,15,0.240918206493612
Datasets\Uci_muskv1.csv,0.191666666666667,0.297445637419669,0.79920814479638,0.808364908190032,0.808510638297872,0.803760447953356,0.767676767676768,16,0.229810845698407
