header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Wine.csv,0,0.0592620996833579,1,1,1,1,1,17,-661.067523079481
Datasets\Wine.csv,0.0888888888888889,0.139670119396728,0.907407407407407,0.923747276688453,1,0.915504439597242,0.909090909090909,19,-1505.576865481
Datasets\Wine.csv,0.0444444444444444,0.128942669749428,0.962962962962963,0.953525641025641,0.923076923076923,0.958221065997708,0.96,19,-2231.35841150868
Datasets\Wine.csv,0.0444444444444444,0.408422918780004,0.962962962962963,0.96078431372549,1,0.961872404681012,1,16,-2932.26819430764
Datasets\Wine.csv,0.0444444444444444,9.44917377285259,0.959259259259259,0.959259259259259,1,0.959259259259259,1,16,-3736.60853568017
Datasets\Wine.csv,0.0666666666666667,0.325228632896447,0.925925925925926,0.934609250398724,0.909090909090909,0.930247325142077,0.869565217391304,18,-4436.09844967192
Datasets\Wine.csv,0.0222222222222222,0.134852482594552,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,16,-5252.8801585445
Datasets\Wine.csv,0.0222222222222222,0.167720114003317,0.977777777777778,0.982456140350877,1,0.980111376292761,1,17,-5939.76599340979
Datasets\Wine.csv,0,0.0641239899584311,1,1,1,1,1,16,-6656.01126342832
Datasets\Wine.csv,0.0222222222222222,0.253687685255631,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,15,-7465.14105157647
Datasets\Wine.csv,0.0222222222222222,0.0734256360962128,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,16,-8184.26577452297
Datasets\Wine.csv,0.0666666666666667,0.179047998784901,0.935185185185185,0.931781045751634,0.916666666666667,0.933480011993614,0.916666666666667,17,-9009.75401944769
Datasets\Wine.csv,0,0.115669676326016,1,1,1,1,1,19,-9744.91486114529
Datasets\Wine.csv,0.111111111111111,0.303703260152835,0.896296296296296,0.89608636977058,0.923076923076923,0.896191320739985,0.96,17,-10526.0980760827
Datasets\Wine.csv,0.0444444444444444,0.121943982514454,0.959259259259259,0.955840455840456,0.923076923076923,0.957546805955018,0.96,17,-11356.4944209555
Datasets\Wine.csv,0,0.111939465213774,1,1,1,1,1,15,-12059.9072705316
Datasets\Wine.csv,0.0666666666666667,0.0905193593177524,0.931481481481481,0.937134502923977,0.916666666666667,0.93429944131488,0.916666666666667,17,-12802.0167496925
Datasets\Wine.csv,0.0222222222222222,0.137883932959305,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,19,-13576.3787271494
Datasets\Wine.csv,0.0222222222222222,0.0917422991204479,0.972222222222222,0.982456140350877,1,0.977312390924956,0.956521739130435,13,-14289.8198328113
Datasets\Wine.csv,0,0.0989386975749377,1,1,1,1,1,19,-15057.2951961055
Datasets\Wine.csv,0.0222222222222222,0.0693703147811271,0.981481481481482,0.974358974358974,0.923076923076923,0.977907259043457,0.96,13,-15774.6998205272
Datasets\Wine.csv,0.0666666666666667,0.18790972371396,0.935185185185185,0.941176470588235,1,0.938171262699565,0.956521739130435,15,-16469.335252616
Datasets\Wine.csv,0.0222222222222222,0.161589036727937,0.981481481481482,0.979166666666667,1,0.980322707595435,1,18,-17210.9800164475
Datasets\Wine.csv,0.0444444444444444,0.130995361585121,0.962962962962963,0.953525641025641,0.923076923076923,0.958221065997708,0.96,17,-17978.0239417536
Datasets\Wine.csv,0,0.0789156697140955,1,1,1,1,1,16,-18757.4265659391
Datasets\Wine.csv,0.0444444444444444,0.105103679365568,0.962962962962963,0.953525641025641,0.923076923076923,0.958221065997708,0.96,18,-19522.9893746837
Datasets\Wine.csv,0.0666666666666667,0.111837182531154,0.940740740740741,0.932528908999497,0.923076923076923,0.936616825811479,0.96,18,-20305.8651553135
Datasets\Wine.csv,0.0222222222222222,0.0890378718722828,0.977777777777778,0.982456140350877,1,0.980111376292761,1,17,-21031.4837569025
Datasets\Wine.csv,0.0444444444444444,630.403260256351,0.944444444444445,0.966666666666667,1,0.955426356589147,0.909090909090909,16,-21755.1182597849
Datasets\Wine.csv,0.0666666666666667,0.143510300117333,0.944444444444445,0.931547619047619,0.857142857142857,0.937951701040014,0.923076923076923,17,-22556.4854073444
