header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training),MaxSELabel,MinLabel
Datasets\Uci_imageseg.csv,0.107142857142857,0.393999424660374,0.892857142857143,0.920634920634921,0.888888888888889,0.906533291653642,0.941176470588235,11,0.0179482966736262,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.745272601192539,0.892857142857143,0.89484126984127,1,0.893848105279848,1,12,0.0145015124308264,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,51.8098461494778,0.892857142857143,0.898469387755102,1,0.895654473694918,1,13,0.0170232128177172,6,0
Datasets\Uci_imageseg.csv,0.125,2.5210172684036,0.875,0.879818594104308,1,0.877402681311581,1,14,0.0155537786216246,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,1.44649361355764,0.857142857142857,0.859410430839002,1,0.85827514625401,1,15,0.0155886280822575,1,0
Datasets\Uci_imageseg.csv,0.107142857142857,1.12970756020918,0.892857142857143,0.898469387755102,1,0.895654473694918,1,16,0.011007933099754,0,0
Datasets\Uci_imageseg.csv,0.107142857142857,14.9877560482606,0.892857142857143,0.897052154195011,1,0.894949732600965,1,17,0.0131410116565405,0,0
Datasets\Uci_imageseg.csv,0.125,8.18860918880282,0.875,0.878061224489796,1,0.876527939464494,1,18,0.0134706519327089,2,0
Datasets\Uci_imageseg.csv,0.0535714285714286,609.448239681693,0.946428571428571,0.950396825396825,1,0.948408547519426,1,19,0.0141402293634233,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,7.66479203319207,0.892857142857143,0.898469387755102,1,0.895654473694918,1,20,0.0113148699863233,0,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.714317806952938,0.285714285714286,0.166666666666667,0,0.210526315789474,0,2,0.102042419328118,2,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.572494342598005,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816337132667822,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.446493231562544,0.571428571428571,0.449564772145417,0.258064516129032,0.503223957587047,0.41025641025641,4,0.0614161347391811,1,0
Datasets\Uci_imageseg.csv,0.232142857142857,0.337555129493529,0.767857142857143,0.700510204081633,0.875,0.732639233594758,0.875,5,0.0425692525562613,0,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.246798923298225,0.839285714285714,0.741702741702742,1,0.787482682747942,1,6,0.0333788746755043,6,0
Datasets\Uci_imageseg.csv,0.0714285714285714,0.198298472750097,0.928571428571429,0.931972789115646,1,0.930268999738835,0.933333333333333,7,0.0147972813574075,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.160245395704567,0.910714285714286,0.919274376417233,1,0.914974310408157,1,8,0.0159584595316134,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.179878369585992,0.910714285714286,0.929292929292929,1,0.919909812763454,1,9,0.0205445901341812,6,0
Datasets\Uci_imageseg.csv,0.0714285714285714,0.201184212671357,0.928571428571429,0.942857142857143,1,0.935659760087241,0.933333333333333,10,0.0159351905730911,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.21113217673946,0.892857142857143,0.908163265306122,1,0.900445163901255,1,11,0.0198731598446802,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.338024015876126,0.892857142857143,0.904761904761905,1,0.898770104068117,0.933333333333333,12,0.0166193015978415,6,0
Datasets\Uci_imageseg.csv,0.0714285714285714,0.162540283511063,0.928571428571429,0.929761904761905,1,0.92916628534822,1,13,0.0144486157437808,2,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.616528093254487,0.910714285714286,0.915873015873016,1,0.913286366034574,0.933333333333333,14,0.0162858738732044,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.333115231893739,0.892857142857143,0.905952380952381,1,0.899357095584759,1,15,0.0119643166414032,0,0
Datasets\Uci_imageseg.csv,0.125,5.79346259680994,0.875,0.887131519274376,1,0.881023999485266,1,16,0.0141242768911463,1,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.403005009388852,0.839285714285714,0.852020202020202,1,0.845605016743809,0.933333333333333,17,0.0134063104086663,2,0
Datasets\Uci_imageseg.csv,0.0714285714285714,3.61296263688852,0.928571428571429,0.934523809523809,1,0.931538110451848,0.933333333333333,18,0.0131775877587715,6,0
Datasets\Uci_imageseg.csv,0.125,0.454771822970837,0.875,0.913419913419913,1,0.893797276853253,0.933333333333333,19,0.0137663516037099,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.332462186424083,0.910714285714286,0.917857142857143,1,0.914271763392857,1,20,0.0128029876324247,1,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.714301375214052,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040856031425,3,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.571449663571075,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816338985134024,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.433273016722526,0.571428571428571,0.449564772145417,0.258064516129032,0.503223957587047,0.41025641025641,4,0.0614746259602069,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.414316159478537,0.696428571428571,0.551353874883287,0.470588235294118,0.615457594505392,0.64,5,0.0433057078923969,6,0
Datasets\Uci_imageseg.csv,0.214285714285714,0.259984415252585,0.785714285714286,0.71156462585034,1,0.74680340105147,1,6,0.0300395159900528,6,0
Datasets\Uci_imageseg.csv,0.0357142857142857,0.131725339540566,0.964285714285714,0.966269841269841,1,0.965276758185288,1,7,0.0116841466613274,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.192684560336502,0.892857142857143,0.907142857142857,0.8,0.899943310657596,0.888888888888889,8,0.0216745507349558,6,0
Datasets\Uci_imageseg.csv,0.0357142857142857,0.217596476403221,0.964285714285714,0.971428571428571,1,0.967843964153927,1,9,0.0121506398963088,1,0
Datasets\Uci_imageseg.csv,0.0535714285714286,0.21340490522091,0.946428571428571,0.955555555555556,1,0.950970164823701,1,10,0.0152040487851777,6,0
Datasets\Uci_imageseg.csv,0.125,19.402901689513,0.875,0.875721500721501,1,0.875360601689677,1,11,0.0166308592760305,1,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.891265895657788,0.892857142857143,0.90952380952381,1,0.901113417625967,1,12,0.0145238573129055,1,0
Datasets\Uci_imageseg.csv,0.125,2.94382184950526,0.875,0.878968253968254,1,0.87697963800905,1,13,0.0151512971403506,1,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.352088425614729,0.910714285714286,0.918650793650794,0.888888888888889,0.914665323830183,0.941176470588235,14,0.0183913379052041,6,0
Datasets\Uci_imageseg.csv,0.125,1.01011519964719,0.875,0.904761904761905,1,0.889632107023411,1,15,0.0142887445152509,6,0
Datasets\Uci_imageseg.csv,0.125,0.661281321915114,0.875,0.878896103896104,1,0.876943724546464,1,16,0.0146009379892719,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.314496705659293,0.892857142857143,0.90952380952381,1,0.901113417625967,1,17,0.0146439578597788,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.921695685381212,0.892857142857143,0.91609977324263,0.888888888888889,0.904329139991942,0.941176470588235,18,0.0143471944235805,1,0
Datasets\Uci_imageseg.csv,0.107142857142857,22.0296396714898,0.892857142857143,0.900453514739229,1,0.896639239877528,1,19,0.0119357100630579,1,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.639222640623116,0.857142857142857,0.880952380952381,1,0.868884540117417,1,20,0.0140173398522064,1,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.71617607171417,0.285714285714286,0.166666666666667,0,0.210526315789474,0,2,0.102041416775763,2,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.573321849134687,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816330414568729,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.432441201228409,0.571428571428571,0.464285714285714,0.25,0.512315270935961,0.4,4,0.0614880893069018,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.342329116613306,0.696428571428571,0.727994227994228,0.777777777777778,0.711861647280161,0.823529411764706,5,0.0420113650036334,1,0
Datasets\Uci_imageseg.csv,0.196428571428571,0.280885205437325,0.803571428571429,0.757369614512472,1,0.779786764896625,0.933333333333333,6,0.0262967602335491,6,0
Datasets\Uci_imageseg.csv,0.125,0.602942951773302,0.875,0.884183673469388,0.875,0.879567865429234,0.875,7,0.0121573152728246,2,0
Datasets\Uci_imageseg.csv,0.125,0.321819403164508,0.875,0.894248608534323,1,0.884519596277363,0.933333333333333,8,0.012926110355758,2,0
Datasets\Uci_imageseg.csv,0.142857142857143,27.8028894214478,0.857142857142857,0.868480725623583,1,0.862774544771917,0.933333333333333,9,0.00838284952635913,2,0
Datasets\Uci_imageseg.csv,0.125,0.327917421809629,0.875,0.883163265306122,1,0.879062681369704,0.933333333333333,10,0.0171760112204477,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,3.18624724880885,0.839285714285714,0.857142857142857,1,0.84812030075188,0.933333333333333,11,0.0119917358858303,2,0
Datasets\Uci_imageseg.csv,0.0892857142857143,0.57224193948673,0.910714285714286,0.920222634508349,1,0.915443770921922,0.933333333333333,12,0.0171381216326895,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,275304.737711853,0.839285714285714,0.858956916099773,1,0.849007386778192,0.933333333333333,13,0.0142843683633295,2,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.723246263214255,0.892857142857143,0.916666666666667,1,0.904605263157895,0.933333333333333,14,0.0155192212773714,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.349638604102397,0.839285714285714,0.84608843537415,1,0.842673345826726,0.933333333333333,15,0.0122559100131359,6,0
Datasets\Uci_imageseg.csv,0.214285714285714,5.11680186254182,0.785714285714286,0.793506493506493,1,0.789591165413534,0.933333333333333,16,0.0111776232384222,2,0
Datasets\Uci_imageseg.csv,0.125,0.616580710009887,0.875,0.884920634920635,1,0.879932356257046,0.933333333333333,17,0.0140327072353157,6,0
Datasets\Uci_imageseg.csv,0.25,1.84232599831389,0.75,0.785714285714286,1,0.767441860465116,0.933333333333333,18,0.0111290283396049,2,0
Datasets\Uci_imageseg.csv,0.178571428571429,0.763975604762622,0.821428571428571,0.839594928880643,0.875,0.830412408831918,0.875,19,0.013024496921218,6,0
Datasets\Uci_imageseg.csv,0.196428571428571,20.5709872133865,0.803571428571429,0.821969696969697,0.875,0.812666444740346,0.875,20,0.011339319857782,6,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.714309519678583,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040853685965,3,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.578121050607616,0.428571428571429,0.299145299145299,0.205128205128205,0.352348993288591,0.340425531914894,3,0.0819762281076817,1,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.436259622826622,0.571428571428571,0.464285714285714,0.25,0.512315270935961,0.4,4,0.0614539007984856,1,0
Datasets\Uci_imageseg.csv,0.303571428571429,0.410260750020198,0.696428571428571,0.573902288188002,0.380952380952381,0.629256461301736,0.551724137931034,5,0.0429703011115359,6,0
Datasets\Uci_imageseg.csv,0.196428571428571,0.326602404054336,0.803571428571429,0.703607503607503,0.7,0.750274403066476,0.777777777777778,6,0.0251999544557555,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.2337103941616,0.839285714285714,0.84234693877551,1,0.840813540221914,0.933333333333333,7,0.0130465809051138,0,0
Datasets\Uci_imageseg.csv,0.142857142857143,0.248342050294997,0.857142857142857,0.856575963718821,0.8,0.856859316667454,0.888888888888889,8,0.0207881345917243,6,0
Datasets\Uci_imageseg.csv,0.125,0.556673655120137,0.875,0.871031746031746,1,0.873011363636364,1,9,0.0161342516556858,6,0
