header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training)
Datasets\Breastcancer.csv,0.027972027972028,0.0402662991525212,0.962264150943396,0.978723404255319,1,0.970423991726991,0.96078431372549,2,0.02263542443741
Datasets\Breastcancer.csv,0.048951048951049,0.0665588548692903,0.949475890985325,0.946109030378693,0.925925925925926,0.94778947064178,0.934579439252336,2,0.0408956772398478
Datasets\Breastcancer.csv,0.0559440559440559,0.0413462790758013,0.943920335429769,0.9375,0.909090909090909,0.94069921303712,0.925925925925926,2,0.0630130684647334
Datasets\Breastcancer.csv,0.041958041958042,0.0617942833250041,0.958909853249476,0.952272727272727,0.927272727272727,0.955579765605718,0.944444444444444,3,0.0819545790739358
Datasets\Breastcancer.csv,0.020979020979021,0.0305983720829112,0.971698113207547,0.983870967741935,1,0.977746654217242,0.970873786407767,2,0.105362471367388
Datasets\Breastcancer.csv,0.048951048951049,0.0671555171662306,0.94559748427673,0.949175824175824,0.942307692307692,0.947383275321693,0.933333333333333,2,0.124468990651419
Datasets\Breastcancer.csv,0.027972027972028,0.327200501539751,0.966142557651992,0.973891730605286,0.980392156862745,0.970001667680149,0.961538461538462,3,0.146018744259661
Datasets\Breastcancer.csv,0.013986013986014,0.0421064694067251,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,2,0.167317428615903
Datasets\Breastcancer.csv,0.013986013986014,0.0262809890392045,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,2,0.19126628982721
Datasets\Breastcancer.csv,0.00699300699300699,0.0218194867073514,0.994444444444444,0.990740740740741,0.981481481481482,0.992589137645108,0.990654205607477,3,0.214328159336258
Datasets\Breastcancer.csv,0.020979020979021,0.040900711530481,0.971698113207547,0.983870967741935,1,0.977746654217242,0.970873786407767,2,0.237037881786499
Datasets\Breastcancer.csv,0.048951048951049,0.0664131083057226,0.949475890985325,0.946109030378693,0.925925925925926,0.94778947064178,0.934579439252336,2,0.255336599057079
Datasets\Breastcancer.csv,0.0559440559440559,0.0413573167776385,0.943920335429769,0.9375,0.909090909090909,0.94069921303712,0.925925925925926,2,0.277481547984045
Datasets\Breastcancer.csv,0.041958041958042,0.0599233145484252,0.958909853249476,0.952272727272727,0.927272727272727,0.955579765605718,0.944444444444444,2,0.297340968627947
Datasets\Breastcancer.csv,0.020979020979021,0.0311847316783092,0.971698113207547,0.983870967741935,1,0.977746654217242,0.970873786407767,2,0.320722599478161
Datasets\Breastcancer.csv,0.027972027972028,0.0520458021774518,0.962264150943396,0.978723404255319,1,0.970423991726991,0.96078431372549,2,0.340585056528303
Datasets\Breastcancer.csv,0.013986013986014,0.0363092471272655,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,2,0.363903238260837
Datasets\Breastcancer.csv,0.013986013986014,0.0417833396131327,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,2,0.385254506503013
Datasets\Breastcancer.csv,0.027972027972028,0.0417618521016007,0.966142557651992,0.973891730605286,0.980392156862745,0.970001667680149,0.961538461538462,3,0.406901959589802
Datasets\Breastcancer.csv,0,0.0259945538288077,1,1,1,1,1,2,0.431314913625134
Datasets\Breastcancer.csv,0.020979020979021,0.0406059008420762,0.971698113207547,0.983870967741935,1,0.977746654217242,0.970873786407767,2,0.453785809947261
Datasets\Breastcancer.csv,0.048951048951049,0.0664432902893878,0.949475890985325,0.946109030378693,0.925925925925926,0.94778947064178,0.934579439252336,2,0.472034858109858
Datasets\Breastcancer.csv,0.034965034965035,0.0407430548407297,0.964465408805032,0.960986267166042,0.944444444444444,0.962722694716169,0.953271028037383,3,0.494134493443516
Datasets\Breastcancer.csv,0.027972027972028,5.38272678995718,0.970020964360587,0.970020964360587,0.962264150943396,0.970020964360587,0.962264150943396,3,0.515416350676958
Datasets\Breastcancer.csv,0.020979020979021,0.0304159723981409,0.971698113207547,0.983870967741935,1,0.977746654217242,0.970873786407767,2,0.538778118700041
Datasets\Breastcancer.csv,0.041958041958042,0.0970260083248934,0.94727463312369,0.963200173686496,0.979591836734694,0.955171026491534,0.941176470588235,3,0.556917518169563
Datasets\Breastcancer.csv,0.027972027972028,0.42626646657792,0.966142557651992,0.973891730605286,0.980392156862745,0.970001667680149,0.961538461538462,3,0.576046992441152
Datasets\Breastcancer.csv,0.013986013986014,0.0416502110344199,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,2,0.597286288869656
Datasets\Breastcancer.csv,0.013986013986014,0.0365754717609637,0.981132075471698,0.989130434782609,1,0.9851150202977,0.980769230769231,4,0.619756855251224
Datasets\Breastcancer.csv,0.020979020979021,0.0588050849148146,0.975576519916143,0.979395604395604,0.980769230769231,0.977482331819753,0.971428571428571,4,0.641484710211493
