header
2,0
3,149
4,98
5,113
6,35
7,113
8,85
9,79
10,44
11,94
12,82
13,52
14,30
15,53
16,127
17,22
18,48
19,78
20,67
2,0
3,111
4,125
5,25
6,48
7,97
8,47
9,169
10,58
11,21
12,24
13,34
14,23
15,66
16,61
17,105
18,47
19,27
20,53
2,0
3,21
4,34
5,83
6,112
7,56
8,46
9,28
10,80
11,59
12,87
13,26
14,109
15,54
16,44
17,61
18,47
19,103
20,67
2,0
3,87
4,108
5,79
6,128
7,50
8,34
9,107
10,82
11,102
12,122
13,34
14,73
15,37
16,48
17,31
18,114
19,44
20,105
2,0
3,105
4,110
5,97
6,91
7,145
8,76
9,104
10,126
11,150
12,82
13,49
14,146
15,35
16,28
17,147
18,42
19,102
20,105
2,0
3,84
4,63
5,40
6,48
7,63
8,97
9,165
10,100
11,49
12,33
13,190
14,24
15,102
16,39
17,26
18,22
19,35
20,39
2,0
3,109
4,164
5,76
6,98
7,60
8,127
9,144
10,83
11,36
12,152
13,98
14,165
15,39
16,53
17,167
18,52
19,54
20,41
2,0
3,102
4,95
5,139
6,34
7,117
8,32
9,21
10,69
11,75
12,57
13,26
14,79
15,45
16,522
17,74
18,21
19,101
20,24
2,0
3,137
4,117
5,75
6,73
7,81
8,56
9,73
10,97
11,85
12,54
13,81
14,25
15,101
16,79
17,56
18,83
19,20
20,125
2,0
3,200
4,106
5,106
6,91
7,31
8,36
9,43
10,144
11,64
12,106
13,28
14,82
15,106
16,35
17,37
18,68
19,124
20,35
2,0
3,52
4,63
5,46
6,145
7,65
8,62
9,105
10,45
11,129
12,20
13,107
14,40
15,61
16,71
17,84
18,80
19,74
20,60
2,0
3,116
4,69
5,95
6,73
7,71
8,57
9,129
10,36
11,138
12,29
13,126
14,27
15,42
16,135
17,52
18,44
19,57
20,81
2,0
3,89
4,79
5,57
6,89
7,90
8,119
9,48
10,132
11,70
12,39
13,93
14,157
15,358
16,70
17,49
18,101
19,101
20,29
2,0
3,71
4,72
5,88
6,67
7,60
8,126
9,105
10,59
11,49
12,22
13,35
14,67
15,26
16,42
17,44
18,61
19,72
20,118
2,0
3,96
4,44
5,141
6,29
7,107
8,93
9,58
10,31
11,46
12,56
13,114
14,72
15,47
16,120
17,65
18,21
19,40
20,69
2,0
3,42
4,114
5,72
6,126
7,91
8,78
9,129
10,27
11,145
12,40
13,146
14,43
15,137
16,32
17,109
18,50
19,45
20,68
2,0
3,189
4,108
5,43
6,27
7,57
8,100
9,101
10,92
11,102
12,30
13,44
14,20
15,50
16,156
17,29
18,56
19,97
20,103
2,0
3,20
4,100
5,88
6,75
7,76
8,83
9,131
10,23
11,47
12,26
13,31
14,40
15,117
16,153
17,65
18,93
19,85
20,136
2,0
3,78
4,64
5,85
6,55
7,39
8,81
9,36
10,46
11,68
12,107
13,35
14,80
15,99
16,46
17,61
18,66
19,52
20,61
2,0
3,87
4,96
5,183
6,75
7,116
8,106
9,94
10,55
11,23
12,79
13,27
14,32
15,20
16,85
17,32
18,126
19,80
20,21
2,0
3,126
4,77
5,87
6,65
7,141
8,22
9,28
10,22
11,108
12,50
13,108
14,113
15,22
16,109
17,53
18,113
19,28
20,92
2,0
3,138
4,65
5,72
6,49
7,45
8,78
9,133
10,74
11,25
12,124
13,68
14,185
15,23
16,69
17,27
18,21
19,24
20,103
2,0
3,54
4,94
5,58
6,74
7,97
8,123
9,24
10,30
11,25
12,43
13,38
14,100
15,42
16,100
17,97
18,32
19,34
20,46
2,0
3,64
4,109
5,178
6,165
7,42
8,67
9,50
10,107
11,77
12,41
13,31
14,102
15,47
16,98
17,93
18,80
19,45
20,33
2,0
3,1000
4,136
5,45
6,122
7,72
8,23
9,94
10,30
11,40
12,48
13,153
14,83
15,80
16,84
17,24
18,90
19,23
20,31
2,0
3,105
4,133
5,21
6,67
7,120
8,109
9,20
10,28
11,38
12,83
13,45
14,66
15,45
16,29
17,105
18,131
19,159
20,42
2,0
3,115
4,93
5,89
6,29
7,57
8,45
9,113
10,39
11,75
12,54
13,123
14,34
15,132
16,27
17,46
18,136
19,73
20,44
2,0
3,74
4,30
5,107
6,92
7,180
8,27
9,43
10,105
11,28
12,24
13,42
14,24
15,131
16,68
17,98
18,42
19,127
20,98
2,0
3,74
4,127
5,54
6,45
7,59
8,55
9,124
10,91
11,23
12,45
13,102
14,38
15,34
16,35
17,36
18,39
19,77
20,72
2,0
3,78
4,48
5,96
6,20
7,52
8,142
9,48
10,134
11,43
12,57
13,41
14,74
15,56
16,45
17,90
18,59
19,21
20,29
